2018-03-07 18:10:04.3740 | $(callsite) | DEBUG | Attempt to reset certain Statistics$(newline)
2018-03-07 18:10:04.4085 | $(callsite) | DEBUG | Attempt to reset certain Statistics successfully completed$(newline)
2018-03-07 18:10:04.4151 | $(callsite) | DEBUG | Attempt to reset certain Statistics$(newline)
2018-03-07 18:10:04.4151 | $(callsite) | DEBUG | Attempt to reset certain Statistics successfully completed$(newline)
2018-03-07 18:10:04.6056 | $(callsite) | DEBUG | Attemp to clear field from ships$(newline)
2018-03-07 18:10:04.6056 | $(callsite) | DEBUG | Attemp to clear field from ships successfully completed. Ship amount is 0$(newline)
2018-03-07 18:10:04.6056 | $(callsite) | DEBUG | Attemp to generate new field$(newline)
2018-03-07 18:10:04.6251 | $(callsite) | DEBUG | Attemp to generate new field successfully completed. Ship amount is 10$(newline)
2018-03-07 18:10:04.6251 | $(callsite) | DEBUG | Database connection completed successfully$(newline)
2018-03-07 18:10:04.6371 | $(callsite) | DEBUG | Attempt to get top ten the best players$(newline)
2018-03-07 18:10:06.1679 | $(callsite) | DEBUG | Query has been successfully completed. As a result, was received10records$(newline)
2018-03-07 18:10:06.1679 | $(callsite) | DEBUG | Attemp to clear field from ships$(newline)
2018-03-07 18:10:06.1679 | $(callsite) | DEBUG | Attemp to clear field from ships successfully completed. Ship amount is 0$(newline)
2018-03-07 18:10:06.1835 | $(callsite) | DEBUG | Attemp to generate new field$(newline)
2018-03-07 18:10:06.1835 | $(callsite) | DEBUG | Attemp to generate new field successfully completed. Ship amount is 10$(newline)
2018-03-07 18:10:11.4352 | $(callsite) | DEBUG | Attempt to change matrix value from False to True$(newline)
2018-03-07 18:10:11.4352 | $(callsite) | DEBUG | Attempt to change matrix value from False to Truesuccessfully completed. Random matrix value is False$(newline)
2018-03-07 18:10:11.4352 | $(callsite) | DEBUG | Attempt to create player named Right Player$(newline)
2018-03-07 18:10:11.4547 | $(callsite) | DEBUG | Attempt to create Right Player successfully completed9314235$(newline)
2018-03-07 18:10:11.4547 | $(callsite) | DEBUG | Attempt to set Oponent for Left Player$(newline)
2018-03-07 18:10:11.4637 | $(callsite) | DEBUG | Attempt to set Oponent for Left Player successfully completed9314235$(newline)
2018-03-07 18:10:11.4637 | $(callsite) | DEBUG | Attempt to set Oponent for Right Player$(newline)
