2018-03-08 11:48:30.1047 |GameService.RandomFieldAlgorithm..ctor | DEBUG | Attempt to generate new random feet

2018-03-08 11:48:30.1358 |GameService.RandomFieldAlgorithm.NewArrangement | DEBUG | Mark field cells available

2018-03-08 11:48:30.1358 |GameService.RandomFieldAlgorithm.NewArrangement | DEBUG | Mark field cells available successfully completed

2018-03-08 11:48:30.1358 |GameService.RandomFieldAlgorithm.NewArrangement | DEBUG | Attempt to get random ship orientation

2018-03-08 11:48:30.1498 |GameService.RandomFieldAlgorithm.NewArrangement | DEBUG | Attempt to get random ship orientation successfully completed. Orientation is Horizontal

2018-03-08 11:48:30.1498 |GameService.RandomFieldAlgorithm.NewArrangement | DEBUG | Attempt to get random ship size

2018-03-08 11:48:30.1498 |GameService.RandomFieldAlgorithm.NewArrangement | DEBUG | Attempt to get random ship size successfully completed. Size is 4

2018-03-08 11:48:30.1648 |GameService.RandomFieldAlgorithm.CountingValidCell | DEBUG | Mark field cells available

2018-03-08 11:48:30.1648 |GameService.RandomFieldAlgorithm.CountingValidCell | DEBUG | Mark field cells available successfully completed

2018-03-08 11:48:30.1648 |GameService.RandomFieldAlgorithm.CountingValidCell | DEBUG | Attempt to count free locations 0

2018-03-08 11:48:30.1839 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.1839 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.1839 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.2000 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.2000 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.2120 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.2120 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.2120 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.2280 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.2280 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.2434 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.2434 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.2434 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.2611 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.2611 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.2611 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.2761 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.2761 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.2761 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.2761 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.2912 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.2912 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.2912 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.3082 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid

2018-03-08 11:48:30.3082 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.3082 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.3263 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid

2018-03-08 11:48:30.3263 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.3364 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.3364 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid

2018-03-08 11:48:30.3364 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.3534 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.3534 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.3534 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.3534 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.3694 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.3694 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.3694 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.3835 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.3835 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.3835 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.4035 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.4035 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.4195 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.4195 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.4316 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.4316 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.4316 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.4506 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.4506 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.4646 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid successfully completed

2018-03-08 11:48:30.4646 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction

2018-03-08 11:48:30.4646 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to get prospective direction successfully completed. Direction is 0 1

2018-03-08 11:48:30.4827 |GameService.RandomFieldAlgorithm.IsFreeLocation | DEBUG | Attempt to mark cell location like not valid

